p1,p2,p3,p4
2,3,5,7
3,5,7,11
5,7,11,13
7,11,13,17
11,13,17,19
13,17,19,23
17,19,23,29
19,23,29,31
23,29,31,37
29,31,37,41
31,37,41,43
37,41,43,47
41,43,47,53
43,47,53,59
47,53,59,61
53,59,61,67
59,61,67,71
61,67,71,73
67,71,73,79
71,73,79,83
73,79,83,89
79,83,89,97
83,89,97,101
89,97,101,103
97,101,103,107
101,103,107,109
103,107,109,113
107,109,113,127
109,113,127,131
113,127,131,137
127,131,137,139
131,137,139,149
137,139,149,151
139,149,151,157
149,151,157,163
151,157,163,167
157,163,167,173
163,167,173,179
167,173,179,181
173,179,181,191
179,181,191,193
181,191,193,197
191,193,197,199
193,197,199,211
197,199,211,223
199,211,223,227
211,223,227,229
223,227,229,233
227,229,233,239
229,233,239,241
233,239,241,251
239,241,251,257
241,251,257,263
251,257,263,269
257,263,269,271
263,269,271,277
269,271,277,281
271,277,281,283
277,281,283,293
281,283,293,307
283,293,307,311
293,307,311,313
307,311,313,317
311,313,317,331
313,317,331,337
317,331,337,347
331,337,347,349
337,347,349,353
347,349,353,359
349,353,359,367
353,359,367,373
359,367,373,379
367,373,379,383
373,379,383,389
379,383,389,397
383,389,397,401
389,397,401,409
397,401,409,419
401,409,419,421
409,419,421,431
419,421,431,433
421,431,433,439
431,433,439,443
433,439,443,449
439,443,449,457
443,449,457,461
449,457,461,463
457,461,463,467
461,463,467,479
463,467,479,487
467,479,487,491
479,487,491,499
487,491,499,503
491,499,503,509
499,503,509,521
503,509,521,523
509,521,523,541
521,523,541,547
523,541,547,557
541,547,557,563
547,557,563,569
557,563,569,571
563,569,571,577
569,571,577,587
571,577,587,593
577,587,593,599
587,593,599,601
593,599,601,607
599,601,607,613
601,607,613,617
607,613,617,619
613,617,619,631
617,619,631,641
619,631,641,643
631,641,643,647
641,643,647,653
643,647,653,659
647,653,659,661
653,659,661,673
659,661,673,677
661,673,677,683
673,677,683,691
677,683,691,701
683,691,701,709
691,701,709,719
701,709,719,727
709,719,727,733
719,727,733,739
727,733,739,743
733,739,743,751
739,743,751,757
743,751,757,761
751,757,761,769
757,761,769,773
761,769,773,787
769,773,787,797
773,787,797,809
787,797,809,811
797,809,811,821
809,811,821,823
811,821,823,827
821,823,827,829
823,827,829,839
827,829,839,853
829,839,853,857
839,853,857,859
853,857,859,863
857,859,863,877
859,863,877,881
863,877,881,883
877,881,883,887
881,883,887,907
883,887,907,911
887,907,911,919
907,911,919,929
911,919,929,937
919,929,937,941
929,937,941,947
937,941,947,953
941,947,953,967
947,953,967,971
953,967,971,977
967,971,977,983
971,977,983,991
977,983,991,997
983,991,997,1009
991,997,1009,1013
997,1009,1013,1019
1009,1013,1019,1021
1013,1019,1021,1031
1019,1021,1031,1033
1021,1031,1033,1039
1031,1033,1039,1049
1033,1039,1049,1051
1039,1049,1051,1061
1049,1051,1061,1063
1051,1061,1063,1069
1061,1063,1069,1087
1063,1069,1087,1091
1069,1087,1091,1093
1087,1091,1093,1097
1091,1093,1097,1103
1093,1097,1103,1109
1097,1103,1109,1117
1103,1109,1117,1123
1109,1117,1123,1129
1117,1123,1129,1151
1123,1129,1151,1153
1129,1151,1153,1163
1151,1153,1163,1171
1153,1163,1171,1181
1163,1171,1181,1187
1171,1181,1187,1193
1181,1187,1193,1201
1187,1193,1201,1213
1193,1201,1213,1217
1201,1213,1217,1223
1213,1217,1223,1229
1217,1223,1229,1231
1223,1229,1231,1237
1229,1231,1237,1249
1231,1237,1249,1259
1237,1249,1259,1277
1249,1259,1277,1279
1259,1277,1279,1283
1277,1279,1283,1289
1279,1283,1289,1291
1283,1289,1291,1297
1289,1291,1297,1301
1291,1297,1301,1303
1297,1301,1303,1307
1301,1303,1307,1319
1303,1307,1319,1321
1307,1319,1321,1327
1319,1321,1327,1361
1321,1327,1361,1367
1327,1361,1367,1373
1361,1367,1373,1381
1367,1373,1381,1399
1373,1381,1399,1409
1381,1399,1409,1423
1399,1409,1423,1427
1409,1423,1427,1429
1423,1427,1429,1433
1427,1429,1433,1439
1429,1433,1439,1447
1433,1439,1447,1451
1439,1447,1451,1453
1447,1451,1453,1459
1451,1453,1459,1471
1453,1459,1471,1481
1459,1471,1481,1483
1471,1481,1483,1487
1481,1483,1487,1489
1483,1487,1489,1493
1487,1489,1493,1499
1489,1493,1499,1511
1493,1499,1511,1523
1499,1511,1523,1531
1511,1523,1531,1543
1523,1531,1543,1549
1531,1543,1549,1553
1543,1549,1553,1559
1549,1553,1559,1567
1553,1559,1567,1571
1559,1567,1571,1579
1567,1571,1579,1583
1571,1579,1583,1597
1579,1583,1597,1601
1583,1597,1601,1607
1597,1601,1607,1609
1601,1607,1609,1613
1607,1609,1613,1619
1609,1613,1619,1621
1613,1619,1621,1627
1619,1621,1627,1637
1621,1627,1637,1657
1627,1637,1657,1663
1637,1657,1663,1667
1657,1663,1667,1669
1663,1667,1669,1693
1667,1669,1693,1697
1669,1693,1697,1699
1693,1697,1699,1709
1697,1699,1709,1721
1699,1709,1721,1723
1709,1721,1723,1733
1721,1723,1733,1741
1723,1733,1741,1747
1733,1741,1747,1753
1741,1747,1753,1759
1747,1753,1759,1777
1753,1759,1777,1783
1759,1777,1783,1787
1777,1783,1787,1789
1783,1787,1789,1801
1787,1789,1801,1811
1789,1801,1811,1823
1801,1811,1823,1831
1811,1823,1831,1847
1823,1831,1847,1861
1831,1847,1861,1867
1847,1861,1867,1871
1861,1867,1871,1873
1867,1871,1873,1877
1871,1873,1877,1879
1873,1877,1879,1889
1877,1879,1889,1901
1879,1889,1901,1907
1889,1901,1907,1913
1901,1907,1913,1931
1907,1913,1931,1933
1913,1931,1933,1949
1931,1933,1949,1951
1933,1949,1951,1973
1949,1951,1973,1979
1951,1973,1979,1987
1973,1979,1987,1993
1979,1987,1993,1997
1987,1993,1997,1999
1993,1997,1999,2003
1997,1999,2003,2011
1999,2003,2011,2017
2003,2011,2017,2027
2011,2017,2027,2029
2017,2027,2029,2039
2027,2029,2039,2053
2029,2039,2053,2063
2039,2053,2063,2069
2053,2063,2069,2081
2063,2069,2081,2083
2069,2081,2083,2087
2081,2083,2087,2089
2083,2087,2089,2099
2087,2089,2099,2111
2089,2099,2111,2113
2099,2111,2113,2129
2111,2113,2129,2131
2113,2129,2131,2137
2129,2131,2137,2141
2131,2137,2141,2143
2137,2141,2143,2153
2141,2143,2153,2161
2143,2153,2161,2179
2153,2161,2179,2203
2161,2179,2203,2207
2179,2203,2207,2213
2203,2207,2213,2221
2207,2213,2221,2237
2213,2221,2237,2239
2221,2237,2239,2243
2237,2239,2243,2251
2239,2243,2251,2267
2243,2251,2267,2269
2251,2267,2269,2273
2267,2269,2273,2281
2269,2273,2281,2287
2273,2281,2287,2293
2281,2287,2293,2297
2287,2293,2297,2309
2293,2297,2309,2311
2297,2309,2311,2333
2309,2311,2333,2339
2311,2333,2339,2341
2333,2339,2341,2347
2339,2341,2347,2351
2341,2347,2351,2357
2347,2351,2357,2371
2351,2357,2371,2377
2357,2371,2377,2381
2371,2377,2381,2383
2377,2381,2383,2389
2381,2383,2389,2393
2383,2389,2393,2399
2389,2393,2399,2411
2393,2399,2411,2417
2399,2411,2417,2423
2411,2417,2423,2437
2417,2423,2437,2441
2423,2437,2441,2447
2437,2441,2447,2459
2441,2447,2459,2467
2447,2459,2467,2473
2459,2467,2473,2477
2467,2473,2477,2503
2473,2477,2503,2521
2477,2503,2521,2531
2503,2521,2531,2539
2521,2531,2539,2543
2531,2539,2543,2549
2539,2543,2549,2551
2543,2549,2551,2557
2549,2551,2557,2579
2551,2557,2579,2591
2557,2579,2591,2593
2579,2591,2593,2609
2591,2593,2609,2617
2593,2609,2617,2621
2609,2617,2621,2633
2617,2621,2633,2647
2621,2633,2647,2657
2633,2647,2657,2659
2647,2657,2659,2663
2657,2659,2663,2671
2659,2663,2671,2677
2663,2671,2677,2683
2671,2677,2683,2687
2677,2683,2687,2689
2683,2687,2689,2693
2687,2689,2693,2699
2689,2693,2699,2707
2693,2699,2707,2711
2699,2707,2711,2713
2707,2711,2713,2719
2711,2713,2719,2729
2713,2719,2729,2731
2719,2729,2731,2741
2729,2731,2741,2749
2731,2741,2749,2753
2741,2749,2753,2767
2749,2753,2767,2777
2753,2767,2777,2789
2767,2777,2789,2791
2777,2789,2791,2797
2789,2791,2797,2801
2791,2797,2801,2803
2797,2801,2803,2819
2801,2803,2819,2833
2803,2819,2833,2837
2819,2833,2837,2843
2833,2837,2843,2851
2837,2843,2851,2857
2843,2851,2857,2861
2851,2857,2861,2879
2857,2861,2879,2887
2861,2879,2887,2897
2879,2887,2897,2903
2887,2897,2903,2909
2897,2903,2909,2917
2903,2909,2917,2927
2909,2917,2927,2939
2917,2927,2939,2953
2927,2939,2953,2957
2939,2953,2957,2963
2953,2957,2963,2969
2957,2963,2969,2971
2963,2969,2971,2999
2969,2971,2999,3001
2971,2999,3001,3011
2999,3001,3011,3019
3001,3011,3019,3023
3011,3019,3023,3037
3019,3023,3037,3041
3023,3037,3041,3049
3037,3041,3049,3061
3041,3049,3061,3067
3049,3061,3067,3079
3061,3067,3079,3083
3067,3079,3083,3089
3079,3083,3089,3109
3083,3089,3109,3119
3089,3109,3119,3121
3109,3119,3121,3137
3119,3121,3137,3163
3121,3137,3163,3167
3137,3163,3167,3169
3163,3167,3169,3181
3167,3169,3181,3187
3169,3181,3187,3191
3181,3187,3191,3203
3187,3191,3203,3209
3191,3203,3209,3217
3203,3209,3217,3221
3209,3217,3221,3229
3217,3221,3229,3251
3221,3229,3251,3253
3229,3251,3253,3257
3251,3253,3257,3259
3253,3257,3259,3271
3257,3259,3271,3299
3259,3271,3299,3301
3271,3299,3301,3307
3299,3301,3307,3313
3301,3307,3313,3319
3307,3313,3319,3323
3313,3319,3323,3329
3319,3323,3329,3331
3323,3329,3331,3343
3329,3331,3343,3347
3331,3343,3347,3359
3343,3347,3359,3361
3347,3359,3361,3371
3359,3361,3371,3373
3361,3371,3373,3389
3371,3373,3389,3391
3373,3389,3391,3407
3389,3391,3407,3413
3391,3407,3413,3433
3407,3413,3433,3449
3413,3433,3449,3457
3433,3449,3457,3461
3449,3457,3461,3463
3457,3461,3463,3467
3461,3463,3467,3469
3463,3467,3469,3491
3467,3469,3491,3499
3469,3491,3499,3511
3491,3499,3511,3517
3499,3511,3517,3527
3511,3517,3527,3529
3517,3527,3529,3533
3527,3529,3533,3539
3529,3533,3539,3541
3533,3539,3541,3547
3539,3541,3547,3557
3541,3547,3557,3559
3547,3557,3559,3571
3557,3559,3571,3581
3559,3571,3581,3583
3571,3581,3583,3593
3581,3583,3593,3607
3583,3593,3607,3613
3593,3607,3613,3617
3607,3613,3617,3623
3613,3617,3623,3631
3617,3623,3631,3637
3623,3631,3637,3643
3631,3637,3643,3659
3637,3643,3659,3671
3643,3659,3671,3673
3659,3671,3673,3677
3671,3673,3677,3691
3673,3677,3691,3697
3677,3691,3697,3701
3691,3697,3701,3709
3697,3701,3709,3719
3701,3709,3719,3727
3709,3719,3727,3733
3719,3727,3733,3739
3727,3733,3739,3761
3733,3739,3761,3767
3739,3761,3767,3769
3761,3767,3769,3779
3767,3769,3779,3793
3769,3779,3793,3797
3779,3793,3797,3803
3793,3797,3803,3821
3797,3803,3821,3823
3803,3821,3823,3833
3821,3823,3833,3847
3823,3833,3847,3851
3833,3847,3851,3853
3847,3851,3853,3863
3851,3853,3863,3877
3853,3863,3877,3881
3863,3877,3881,3889
3877,3881,3889,3907
